City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,meraux,29.933,-89.9498,30.99,69,0,2.57,US,1690430334
1,kone,-21.0595,164.8658,23.66,44,1,4.7,NC,1690430334
2,grytviken,-54.2811,-36.5092,0.93,99,100,5.41,GS,1690430269
3,enewetak,11.3474,162.3373,28.44,78,100,6.26,MH,1690430334
4,georgetown,5.4112,100.3354,31.96,82,20,2.57,MY,1690430335
5,seydi,39.4816,62.9137,37.18,17,7,6.63,TM,1690430335
6,fort st. john,56.2499,-120.8529,14.94,94,100,4.12,CA,1690430335
7,west island,-12.1568,96.8225,24.99,78,75,10.8,CC,1690430272
8,labrador city,52.9463,-66.9114,11.95,94,100,1.54,CA,1690430335
9,broome,42.2506,-75.833,24.78,81,40,4.12,US,1690430336
10,coquimbo,-29.9533,-71.3436,12.85,87,75,2.57,CL,1690430336
11,port-aux-francais,-49.35,70.2167,4.72,79,95,15.39,TF,1690430336
12,puerto natales,-51.7236,-72.4875,-1.84,93,100,1.12,CL,1690430265
13,qarazhal,48.0078,70.7903,26.34,37,97,4.6,KZ,1690430337
14,anadyr,64.75,177.4833,12.28,87,100,6.0,RU,1690430281
15,kodiak,57.79,-152.4072,13.73,82,75,4.63,US,1690430337
16,ilulissat,69.2167,-51.1,1.93,82,16,2.67,GL,1690430338
17,chonchi,-42.6128,-73.8092,7.84,99,100,1.49,CL,1690430271
18,wailua homesteads,22.0669,-159.378,28.44,78,40,7.2,US,1690430293
19,manokwari,-0.8667,134.0833,28.65,71,47,3.12,ID,1690430204
20,vila velha,-20.3297,-40.2925,20.53,92,0,1.03,BR,1690430338
21,nizhniy ingash,56.2,96.53,23.74,52,66,3.57,RU,1690430339
22,ushuaia,-54.8,-68.3,0.81,60,75,2.06,AR,1690430140
23,sacaba,20.5833,-89.9833,22.93,92,98,1.1,MX,1690430339
24,borssele,51.4233,3.7347,16.12,97,75,8.23,NL,1690430339
25,waitangi,-43.9535,-176.5597,6.57,89,91,0.45,NZ,1690430340
26,pemangkat,1.1667,108.9667,31.14,57,46,5.1,ID,1690430320
27,castillos,-34.1667,-53.8333,9.0,84,0,5.54,UY,1690430340
28,east london,-33.0153,27.9116,16.86,73,78,3.18,ZA,1690430340
29,imamoglu,37.2651,35.6572,25.57,60,0,0.9,TR,1690430341
30,edinburgh of the seven seas,-37.0676,-12.3116,10.84,50,64,9.61,SH,1690430141
31,bredasdorp,-34.5322,20.0403,8.66,90,0,2.07,ZA,1690430333
32,paratinga,-12.6906,-43.1842,22.11,61,52,2.5,BR,1690430341
33,bilibino,68.0546,166.4372,11.6,68,99,1.5,RU,1690430270
34,uturoa,-16.7333,-151.4333,25.8,83,48,3.57,PF,1690430342
35,holualoa,19.6228,-155.9522,27.1,84,75,5.14,US,1690430342
36,santiago de cao,-7.9589,-79.2392,21.07,88,75,3.6,PE,1690430342
37,lorengau,-2.0226,147.2712,28.75,80,56,4.9,PG,1690430343
38,tolanaro,-25.0319,46.9987,17.04,82,75,2.06,MG,1690430279
39,kincardine,56.0667,-3.7167,14.17,92,100,2.14,GB,1690430344
40,tofol,5.3248,163.0078,28.29,73,100,1.99,FM,1690430306
41,albany,42.6001,-73.9662,23.46,83,100,2.36,US,1690430295
42,baturaja,-4.1333,104.1667,30.9,58,40,1.42,ID,1690430344
43,arraial do cabo,-22.9661,-42.0278,21.14,89,60,9.67,BR,1690430345
44,puerto maldonado,-12.6,-69.1833,24.21,71,70,0.72,PE,1690430345
45,saint-joseph,-21.3667,55.6167,18.21,80,81,4.31,RE,1690430345
46,tura,25.5198,90.2201,27.46,83,99,2.96,IN,1690430346
47,stanley,54.868,-1.6985,13.49,92,75,1.03,GB,1690430148
48,blackmans bay,-43.0167,147.3167,12.63,71,100,2.43,AU,1690430346
49,tiksi,71.6872,128.8694,7.56,73,48,2.91,RU,1690430346
50,newman,37.3138,-121.0208,33.13,10,0,2.58,US,1690430347
51,thinadhoo,0.5333,72.9333,28.81,76,88,6.14,MV,1690430347
52,manaure,11.7751,-72.4445,27.24,81,100,4.23,CO,1690430347
53,vernon,50.2581,-119.2691,23.2,35,2,1.03,CA,1690430191
54,zilair,52.2332,57.4392,22.52,56,13,2.58,RU,1690430348
55,san jose del cabo,23.0589,-109.6977,30.89,68,25,1.79,MX,1690430332
56,adamstown,-25.066,-130.1015,19.66,61,29,5.37,PN,1690430348
57,tual,-5.6667,132.75,26.03,82,57,8.88,ID,1690430342
58,whitehorse,60.7161,-135.0538,18.9,79,75,3.09,CA,1690430146
59,kyrenia,35.3417,33.3167,22.75,53,0,3.38,CY,1690430349
60,forbes,-33.3833,148.0167,20.51,41,0,2.99,AU,1690430350
61,swakopmund,-22.6833,14.5333,11.66,88,0,2.24,NA,1690430350
62,taltal,-25.4,-70.4833,14.8,87,37,1.97,CL,1690430321
63,bogorodskoye,56.55,37.8833,15.81,92,76,2.05,RU,1690430351
64,alofi,-19.0595,-169.9187,23.94,100,75,2.57,NU,1690430351
65,hawaiian paradise park,19.5933,-154.9731,27.73,92,40,4.12,US,1690430351
66,zaranj,30.9667,61.8833,33.98,21,0,7.33,AF,1690430352
